srl,field_name,name,block,item,length,byte_start,byte_end,remarks
1,file_id,File Identification,,,4,1,4,FVP5
2,sch,Schdule,1,2,3,5,7,104
3,qtr,Quarter,,,2,8,9,Q1 to Q4
4,visit,Visit,,,2,10,11,V1 for first visit
5,sec,Sector,1,3,1,12,12,
6,st,State/Ut Code,,,2,13,14,
7,dc,District Code,1,4,2,15,16,
8,nss_reg,NSS-Region,1,4,3,17,19,
9,strm,Stratum,1,5,2,20,21,
10,sstrm,Sub-Stratum,1,6,2,22,23,
11,ss,Sub-Sample,1,11,1,24,24,
12,sro,Fod Sub-Region,1,12,4,25,28,
13,mfsu,FSU,1,1,5,29,33,
14,seg,Sample Sg/Sb No.,1,13,1,34,34,
15,sss,Second Stage Stratum No.,1,14,1,35,35,
16,ssu,Sample Household Number,1,15,2,36,37,
17,srl_no,Person Serial No.,4,1,2,38,39,
18,rel,Relationship To Head,4,4,1,40,40,
19,sex,Sex,4,5,1,41,41,
20,age,Age,4,6,3,42,44,
21,marst,Marital Status,4,7,1,45,45,
22,gedu_lvl,General Educaion Level,4,8,2,46,47,
23,tedu_lvl,Technical Educaion Level,4,9,2,48,49,
24,no_of_years_in_formal_education,No. of years in Formal Education,4,10,2,50,51,
25,curr_att,Status of Current Attendance in Educational Institution,4,11,2,52,53,
26,voc,Whether received any Vocational/Technical Training,4,12,1,54,54,
27,whether_training_completed_during_last_3,Whether Training completed during last 365 Days,4.1,3,1,55,55,
28,vt_field,Field Of Training,4.1,4,2,56,57,
29,vt_dur,Duration Of Training,4.1,5,1,58,58,
30,vt_type,Type Of Training,4.1,6,1,59,59,
31,source_of_funding_the_training,Source Of Funding The Training,4.1,7,1,60,60,
32,pas,Status Code,5.1,3,2,61,62,
33,ind_pas,Industry Code (NIC),5.1,5,5,63,67,
34,ocu_pas,Occupation Code (NCO),5.1,6,3,68,70,
35,has_sas,Whether Engaged In Any Work In Subsidiary Capacity,5.1,7,1,71,71,
36,loc_pas,(Principal)location Of Workplace Code,5.1,8,2,72,73,
37,etyp_pas,(Principal) Enterprise Type Code,5.1,9,2,74,75,
38,wrkr_pas,(Principal) No. Of Workers In The Enterprise,5.1,10,1,76,76,
39,job_pas,(Principal)  Type Of Job Contract,5.1,11,1,77,77,
40,leave_pas,(Principal) Eligble Of Paid Leave,5.1,12,1,78,78,
41,ssec_pas,(Principal) Social Security Benefits,5.1,13,1,79,79,
42,ecoprd_pas,(Principal) Usage of product of the economic activity,5.1,14,1,80,80,
43,principal_works_on_the_basis_of_given_or,(Principal) Works on the basis of given or laid down product-specifications of a user enterprise,5.1,15,1,81,81,
44,principal_type_of_product_specification,(Principal) Type of product specification ,5.1,16,1,82,82,
43,sas,Status Code,5.2,3,2,83,84,
44,ind_sas,Industry Code (NIC),5.2,5,5,85,89,
45,ocu_sas,Occupation Code (NCO),5.2,6,3,90,92,
46,loc_sas,(Subsidiary) location Of Workplace Code,5.2,7,2,93,94,
47,etyp_sas,(Subsidiary)  Enterprise Type Code,5.2,8,2,95,96,
48,wrkr_sas,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,97,97,
49,job_sas,(Subsidiary)   Type Of Job Contract,5.2,10,1,98,98,
50,leave_sas,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,99,99,
51,ssec_sas,(Subsidiary)  Social Security Benefits,5.2,12,1,100,100,
52,subsidiary_usage_of_product_of_the_econo,(Subsidiary) Usage of product of the economic activity,5.2,13,1,101,101,
53,subsidiary_works_on_the_basis_of_given_o,(Subsidiary) Works on the basis of given or laid down product-specifications of a user enterprise,5.2,14,1,102,102,
54,subsidiary_type_of_product_specification,(Subsidiary) Type of product specification ,5.2,15,1,103,103,
53,ever_worked_prior_to_last_365_days,Ever Worked Prior to last 365 days,5.3,5,1,104,104,
54,dur_pas,Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1,105,105,
55,dur_sas,Duration of engagement in the economic activity in Subsidiary Activity Status,5.3,7,1,106,106,
56,efforts_undertaken_to_search_work,Efforts undertaken to search work,5.3,8,1,107,107,
57,duration_of_spell_of_unemployment,Duration of spell of Unemployment,5.3,9,1,108,108,
58,whether_ever_worked,Whether Ever Worked ,5.3,10,1,109,109,
59,reason_for_not_working_in_last_365_days, Reason for not working in last 365 days,5.3,11,1,110,110,
60,main_reason_for_being_in_principal_activ,Main reason for being in Principal activity status (91 to 97) ,5.3,12,1,111,111,
61,sts11,Status Code for activity 1,6,4/3.1,2,112,113,
62,ind11,Industry Code (NIC) for activity 1,6,5/3.1,2,114,115,
63,hrs11,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,116,117,
64,ern11,wage earning for activity 1 on 7 th day,6,9/3.1,5,118,122,
65,sts21,Status Code for activity 2,6,4/3.1,2,123,124,
66,ind21,Industry Code (NIC) for activity 2,6,5/3.1,2,125,126,
67,hrs21,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,127,128,
68,ern21,wage earning for activity 2 on 7 th day,6,9/3.1,5,129,133,
69,tot_hrs1,total hours actually worked on 7th day,6,7/3.1,2,134,135,
70,hav1,hours available for aditional worked on 7th day,6,8/3.1,2,136,137,
71,sts12,Status Code for activity 1,6,4/3.2,2,138,139,
72,ind12,Industry Code (NIC) for activity 1,6,5/3.2,2,140,141,
73,hrs12,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,142,143,
74,ern12,wage earning for activity 1 on 7 th day,6,9/3.2,5,144,148,
75,sts22,Status Code for activity 2,6,4/3.2,2,149,150,
76,ind22,Industry Code (NIC) for activity 2,6,5/3.2,2,151,152,
77,hrs22,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,153,154,
78,ern22,wage earning for activity 2 on 6 th day,6,9/3.2,5,155,159,
79,tot_hrs2,total hours actually worked on 6th day,6,7/3.2,2,160,161,
80,hav2,hours available for aditional worked on 6th day,6,8/3.2,2,162,163,
81,sts13,Status Code for activity 1,6,4/3.3,2,164,165,
82,ind13,Industry Code (NIC) for activity 1,6,5/3.3,2,166,167,
83,hrs13,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,168,169,
84,ern13,wage earning for activity 1 on 5 th day,6,9/3.3,5,170,174,
85,sts23,Status Code for activity 2,6,4/3.3,2,175,176,
86,ind23,Industry Code (NIC) for activity 2,6,5/3.3,2,177,178,
87,hrs23,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,179,180,
88,ern23,wage earning for activity 2 on 5 th day,6,9/3.3,5,181,185,
89,tot_hrs3,total hours actually worked on 5th day,6,7/3.3,2,186,187,
90,hav3,hours available for aditional worked on 5th day,6,8/3.3,2,188,189,
91,sts14,Status Code for activity 1,6,4/3.4,2,190,191,
92,ind14,Industry Code (NIC) for activity 1,6,5/3.4,2,192,193,
93,hrs14,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,194,195,
94,ern14,wage earning for activity 1 on 4th day,6,9/3.4,5,196,200,
95,sts24,Status Code for activity 2,6,4/3.4,2,201,202,
96,ind24,Industry Code (NIC) for activity 2,6,5/3.4,2,203,204,
97,hrs24,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,205,206,
98,ern24,wage earning for activity 2 on 4th day,6,9/3.4,5,207,211,
99,tot_hrs4,total hours actually worked on 4th day,6,7/3.4,2,212,213,
100,hav4,hours available for aditional worked on 4th day,6,8/3.4,2,214,215,
101,sts15,Status Code for activity 1,6,4/3.5,2,216,217,
102,ind15,Industry Code (NIC) for activity 1,6,5/3.5,2,218,219,
103,hrs15,hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,220,221,
104,ern15,wage earning for activity 1 on 3rd day,6,9/3.5,5,222,226,
105,sts25,Status Code for activity 2,6,4/3.5,2,227,228,
106,ind25,Industry Code (NIC) for activity 2,6,5/3.5,2,229,230,
107,hrs25,hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,231,232,
108,ern25,wage earning for activity 2 on 3 rd day,6,9/3.5,5,233,237,
109,tot_hrs5,total hours actually worked on 3rd day,6,7/3.5,2,238,239,
110,hav5,hours available for aditional worked on 3rd day,6,8/3.5,2,240,241,
111,sts16,Status Code for activity 1,6,4/3.6,2,242,243,
112,ind16,Industry Code (NIC) for activity 1,6,5/3.6,2,244,245,
113,hrs16,hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,246,247,
114,ern16,wage earning for activity 1 on 2nd day,6,9/3.6,5,248,252,
115,sts26,Status Code for activity 2,6,4/3.6,2,253,254,
116,ind26,Industry Code (NIC) for activity 2,6,5/3.6,2,255,256,
117,hrs26,hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,257,258,
118,ern26,wage earning for activity 2 on 2nd day,6,9/3.6,5,259,263,
119,tot_hrs6,total hours actually worked on 2nd day,6,7/3.6,2,264,265,
120,hav6,hours available for aditional worked on 2nd day,6,8/3.6,2,266,267,
121,sts17,Status Code for activity 1,6,4/3.7,2,268,269,
122,ind17,Industry Code (NIC) for activity 1,6,5/3.7,2,270,271,
123,hrs17,hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,272,273,
124,ern17,wage earning for activity 1 on 1st day,6,9/3.7,5,274,278,
125,sts27,Status Code for activity 2,6,4/3.7,2,279,280,
126,ind27,Industry Code (NIC) for activity 2,6,5/3.7,2,281,282,
127,hrs27,hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,283,284,
128,ern27,wage earning for activity 2 on 1st day,6,9/3.7,5,285,289,
129,tot_hrs7,total hours actually worked on 1st day,6,7/3.7,2,290,291,
130,hav7,hours available for aditional worked on 1st day,6,8/3.7,2,292,293,
131,aps_cws,Current Weekly Status (CWS),6,5,2,294,295,
132,aind_cws,Industry Code (CWS),6,6,2,296,297,
133,ocu_cws,Occupation Code (CWS),6,7,3,298,300,
134,ern_reg,Earnings For Regular Salaried/Wage Activity,6,9,8,301,308,
135,ern_self,Earnings For Self Employed,6,10,8,309,316,
156,nss,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,317,319,NSS
157,nsc,Ns count for sector x stratum x substratum,Generated,,3,320,322,NSC
158,mult,Sub-sample wise Multiplier,Generated,,10,323,332,MULT
159,no_qtr,Occurance of FSUs in State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,333,333,No_Qtr
